direction,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions.stopped,cue.started,cue.stopped,trial.started,grating.started,limit_resp.started,trial.stopped,response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.007290667010238394,0.9248785419913474,,,,,,,,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
-1,0,0,0,0,0,0,1,0.933460667001782,,,,0.9292056249978486,3.354848791990662,3.3562390840088483,3.3773822500079405,3.3773822500079405,6.992229041992687,0.06539302562502629,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
1,1,1,0,0,1,1,0,7.002534875005949,,,,6.992538209015038,8.03827024999191,8.03947491699364,8.045438125001965,8.045438125001965,10.454881999990903,0.007993473890061628,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
-1,2,0,1,1,0,2,1,10.462328916997649,,,,10.45561116700992,11.355393959005596,11.356519416993251,11.369555709010456,11.369555709010456,14.838387583993608,0.047937609387121556,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
1,3,1,1,1,1,3,0,14.852593584015267,,,,14.839072542003123,15.454556667013094,15.455716750002466,15.464279584004544,15.464279584004544,18.43819087499287,0.0025705773642065513,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
-1,4,0,2,2,0,4,1,18.44565008400241,,,,18.438867249991745,19.538540917012142,19.539712833997328,19.552746917004697,19.552746917004697,22.00551883399021,0.006279061515062005,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
1,5,1,2,2,1,5,0,22.019357624987606,,,,22.00619695900241,22.82114575000014,22.822459916991647,22.830874792009126,22.830874792009126,26.171271250001155,0.0012345683107491052,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
-1,6,0,3,3,0,6,1,26.186020749999443,,,,26.171876917011105,26.971794209006475,26.972801291994983,26.981080041994574,26.981080041994574,29.856076249998296,0.01446947408779385,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
1,7,1,3,3,1,7,0,29.869182208989514,,,,29.856790291989455,30.424551292002434,30.42557933399803,30.43580216699047,30.43580216699047,34.12150979199214,0.0006171802631676286,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
-1,8,0,4,4,0,8,1,34.128082417009864,,,,34.12214720901102,34.674717541987775,34.67572262499016,34.686026750016026,34.686026750016026,38.03829229201074,0.037752830271409764,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
1,9,1,4,4,1,9,0,38.045717500004685,,,,38.03899029199965,38.988353084016126,38.98938487499254,39.002806167001836,39.002806167001836,42.37333358399337,0.0011504762038063918,demo,001,2025-01-06_16h24.27.517,method-of-limits,2024.2.4,None,2025-01-06 16h24.32.789191 -0500,
